guide	gene	DMSO_D12	DMSO_D6	D0_D0	Resveratrol_D12
chr2:69870078-69870097_AAK1_-	AAK1	1257	2160	1100	1562
chr2:69771583-69771602_AAK1_-	AAK1	1084	1254	951	1097
chr2:69769648-69769667_AAK1_+	AAK1	994	920	445	592
chr2:69759261-69759280_AAK1_+	AAK1	406	527	587	1007
chr11:77553613-77553632_AAMDC_+	AAMDC	528	944	671	1110
chr11:77553614-77553633_AAMDC_+	AAMDC	1544	1056	299	602
chr11:77580794-77580813_AAMDC_+	AAMDC	2025	1575	1143	2406
chr11:77583292-77583311_AAMDC_+	AAMDC	1723	1503	207	1532
chr2:219134745-219134764_AAMP_+	AAMP	285	552	409	123
chr2:219134187-219134206_AAMP_-	AAMP	694	843	457	959
chr2:219132282-219132301_AAMP_-	AAMP	34	409	1671	137
chr2:219131584-219131603_AAMP_-	AAMP	90	187	541	961
chr17:74464953-74464972_AANAT_-	AANAT	234	92	41	186
chr17:74464955-74464974_AANAT_-	AANAT	308	530	215	532
chr17:74465788-74465807_AANAT_-	AANAT	0	4	75	125
chr17:74465935-74465954_AANAT_+	AANAT	402	649	562	285
chr20:34827976-34827995_AAR2_+	AAR2	369	878	509	212
chr20:34828009-34828028_AAR2_-	AAR2	740	870	481	35
chr20:34832791-34832810_AAR2_-	AAR2	560	714	981	58
chr20:34843586-34843605_AAR2_+	AAR2	1532	2175	1234	1708
chr8:117950508-117950527_AARD_+	AARD	1238	1096	1328	2286
chr8:117950602-117950621_AARD_+	AARD	844	1389	1123	545
chr8:117950605-117950624_AARD_+	AARD	2124	2162	1096	291
chr8:117950668-117950687_AARD_+	AARD	1603	1220	599	1764
chr6:44280923-44280942_AARS2_+	AARS2	859	1025	544	723
chr6:44279199-44279218_AARS2_+	AARS2	144	365	367	212
chr6:44278753-44278772_AARS2_+	AARS2	303	460	408	95
chr6:44278038-44278057_AARS2_-	AARS2	514	617	218	353
chr17:41116421-41116440_AARSD1_-	AARSD1	579	475	579	913
chr16:70310893-70310912_AARS_+	AARS1	8	114	501	58
chr16:70310519-70310538_AARS_-	AARS1	383	767	1177	571
chr16:70305823-70305842_AARS_-	AARS1	368	725	738	270
chr16:70303523-70303542_AARS_-	AARS1	104	214	526	303
chr11:105948545-105948564_AASDHPPT_+	AASDHPPT	442	1431	1937	934
chr11:105948581-105948600_AASDHPPT_+	AASDHPPT	502	1157	1516	1219
chr11:105965343-105965362_AASDHPPT_+	AASDHPPT	0	20	180	92
chr11:105967483-105967502_AASDHPPT_+	AASDHPPT	128	651	784	528
chr4:57221481-57221500_AASDH_+	AASDH	691	1223	1459	1857
chr4:57220894-57220913_AASDH_-	AASDH	365	392	172	282
chr4:57220329-57220348_AASDH_-	AASDH	3371	2260	1469	1273
chr4:57217551-57217570_AASDH_-	AASDH	412	339	902	2088
chr7:121773675-121773694_AASS_-	AASS	208	340	261	275
chr7:121741476-121741495_AASS_-	AASS	1684	2271	1297	2541
chr7:121732935-121732954_AASS_-	AASS	49	302	157	249
chr7:121731764-121731783_AASS_-	AASS	561	472	466	881
chr17:35306470-35306489_AATF_+	AATF	1688	621	725	400
chr17:35307610-35307629_AATF_-	AATF	355	609	1058	432
chr17:35310452-35310471_AATF_+	AATF	48	260	809	354
chr17:35344005-35344024_AATF_+	AATF	29	142	424	61
chr17:79139772-79139791_AATK_+	AATK	7	149	142	270
chr17:79108243-79108262_AATK_+	AATK	875	1385	916	1024
chr17:79104904-79104923_AATK_+	AATK	1988	1733	574	553
chr17:79102286-79102305_AATK_-	AATK	989	1019	744	4829
chr16:8829604-8829623_ABAT_-	ABAT	983	1024	1040	1472
chr16:8839921-8839940_ABAT_+	ABAT	272	463	592	338
chr16:8844303-8844322_ABAT_+	ABAT	1700	608	335	1195
chr16:8851629-8851648_ABAT_-	ABAT	1608	1222	803	267
chr17:67215827-67215846_ABCA10_+	ABCA10	0	0	0	0
chr17:67212092-67212111_ABCA10_-	ABCA10	1018	663	429	650
chr17:67152037-67152056_ABCA10_+	ABCA10	331	295	424	39
chr17:67148225-67148244_ABCA10_+	ABCA10	1090	1229	1148	2461
chr2:215928846-215928865_ABCA12_-	ABCA12	154	694	392	116
chr2:215914352-215914371_ABCA12_-	ABCA12	1494	1448	632	580
chr2:215891555-215891574_ABCA12_-	ABCA12	1549	1307	907	273
chr2:215876321-215876340_ABCA12_+	ABCA12	613	882	861	1541
chr7:48211112-48211131_ABCA13_-	ABCA13	1095	1036	932	1323
chr7:48259011-48259030_ABCA13_+	ABCA13	502	1319	1086	1039
chr7:48278857-48278876_ABCA13_-	ABCA13	384	492	196	745
chr7:48280496-48280515_ABCA13_+	ABCA13	1308	1676	1146	1638
chr9:107665940-107665959_ABCA1_-	ABCA1	1083	1293	1350	1187
chr9:107646751-107646770_ABCA1_+	ABCA1	418	532	475	521
chr9:107645374-107645393_ABCA1_-	ABCA1	1602	869	501	2575
chr9:107624058-107624077_ABCA1_-	ABCA1	117	169	629	261
chr9:139922536-139922555_ABCA2_-	ABCA2	310	551	946	191
chr9:139918638-139918657_ABCA2_+	ABCA2	1624	1257	672	767
chr9:139917283-139917302_ABCA2_-	ABCA2	1421	1520	804	1597
chr9:139916395-139916414_ABCA2_-	ABCA2	2284	2316	879	1219
chr16:2376416-2376435_ABCA3_+	ABCA3	1268	1249	1272	4353
chr16:2376094-2376113_ABCA3_+	ABCA3	1107	1008	722	550
chr16:2374498-2374517_ABCA3_+	ABCA3	1108	929	1216	1376
chr16:2373645-2373664_ABCA3_-	ABCA3	968	1651	1483	2275
chr1:94577017-94577036_ABCA4_+	ABCA4	656	725	843	88
chr1:94574139-94574158_ABCA4_+	ABCA4	891	1230	579	2025
chr1:94564499-94564518_ABCA4_-	ABCA4	1485	1569	746	1061
chr1:94546053-94546072_ABCA4_+	ABCA4	46	26	49	64
chr17:67309235-67309254_ABCA5_-	ABCA5	405	519	379	722
chr17:67297292-67297311_ABCA5_+	ABCA5	822	833	998	1809
chr17:67287416-67287435_ABCA5_-	ABCA5	869	1785	1137	1693
chr17:67280096-67280115_ABCA5_-	ABCA5	2172	1252	1054	5799
chr17:67133611-67133630_ABCA6_+	ABCA6	972	1056	778	660
chr17:67132252-67132271_ABCA6_-	ABCA6	1093	1150	964	180
chr17:67124879-67124898_ABCA6_+	ABCA6	748	1130	613	117
chr17:67119471-67119490_ABCA6_-	ABCA6	4692	2366	1276	2413
chr19:1042670-1042689_ABCA7_+	ABCA7	404	917	679	460
chr19:1043418-1043437_ABCA7_-	ABCA7	436	596	423	1216
chr19:1043806-1043825_ABCA7_-	ABCA7	267	606	467	16
chr19:1044620-1044639_ABCA7_+	ABCA7	1043	964	1451	786
chr17:66925304-66925323_ABCA8_+	ABCA8	217	251	377	930
chr17:66924137-66924156_ABCA8_+	ABCA8	589	927	996	1307
chr17:66920859-66920878_ABCA8_-	ABCA8	214	488	401	249
chr17:66917582-66917601_ABCA8_-	ABCA8	159	466	679	767
chr17:67041464-67041483_ABCA9_-	ABCA9	2100	2802	2524	2017
chr17:67039757-67039776_ABCA9_+	ABCA9	2386	2579	1204	1261
chr17:67024735-67024754_ABCA9_-	ABCA9	1285	1600	1164	2211
chr17:67023120-67023139_ABCA9_-	ABCA9	1521	1048	394	536
chr1:229694356-229694375_ABCB10_+	ABCB10	198	473	287	59
chr1:229685038-229685057_ABCB10_+	ABCB10	1856	2609	1894	2161
chr1:229678051-229678070_ABCB10_+	ABCB10	1419	1784	882	506
chr1:229675222-229675241_ABCB10_+	ABCB10	2629	1945	1270	1552
chr2:169870829-169870848_ABCB11_-	ABCB11	1559	1433	1692	1086
chr2:169869817-169869836_ABCB11_+	ABCB11	558	782	298	127
chr2:169853158-169853177_ABCB11_-	ABCB11	2985	1176	967	1201
chr2:169851884-169851903_ABCB11_-	ABCB11	523	836	1265	953
chr7:87183106-87183125_ABCB1_-	ABCB1	538	801	590	435
chr7:87179150-87179169_ABCB1_+	ABCB1	594	748	603	1385
chr7:87178678-87178697_ABCB1_-	ABCB1	338	856	1271	115
chr7:87175299-87175318_ABCB1_+	ABCB1	552	817	887	452
chr7:87092147-87092166_ABCB4_+	ABCB4	3186	1864	1157	2436
chr7:87082265-87082284_ABCB4_+	ABCB4	3583	2861	1677	2796
chr7:87080975-87080994_ABCB4_+	ABCB4	445	774	919	624
chr7:87079308-87079327_ABCB4_-	ABCB4	294	1055	1103	617
chr7:20666199-20666218_ABCB5_+	ABCB5	1572	1303	1129	1077
chr7:20668388-20668407_ABCB5_-	ABCB5	3522	2392	1373	525
chr7:20685408-20685427_ABCB5_+	ABCB5	503	648	1090	1662
chr7:20685745-20685764_ABCB5_-	ABCB5	835	1474	885	994
chr2:220083045-220083064_ABCB6_+	ABCB6	160	285	468	70
chr2:220082515-220082534_ABCB6_-	ABCB6	810	1340	1340	1272
chr2:220081479-220081498_ABCB6_+	ABCB6	505	725	887	823
chr2:220081108-220081127_ABCB6_-	ABCB6	1583	2009	1546	2797
chrX:74375988-74376007_ABCB7_-	ABCB7	454	371	621	117
chrX:74332752-74332771_ABCB7_-	ABCB7	548	902	406	469
chrX:74296361-74296380_ABCB7_+	ABCB7	265	464	842	362
chrX:74295301-74295320_ABCB7_-	ABCB7	985	1270	1387	996
chr7:150730863-150730882_ABCB8_-	ABCB8	538	783	637	1472
chr7:150731432-150731451_ABCB8_+	ABCB8	903	571	646	490
chr7:150731641-150731660_ABCB8_+	ABCB8	32	47	338	196
chr7:150732956-150732975_ABCB8_+	ABCB8	2730	1333	1361	598
chr12:123444563-123444582_ABCB9_-	ABCB9	452	435	902	1713
chr12:123435062-123435081_ABCB9_+	ABCB9	1318	1433	1416	322
chr12:123434380-123434399_ABCB9_+	ABCB9	572	721	740	500
chr12:123433216-123433235_ABCB9_+	ABCB9	641	703	627	1334
chr6:43395739-43395758_ABCC10_+	ABCC10	2408	1770	644	1806
chr6:43400664-43400683_ABCC10_+	ABCC10	737	905	516	432
chr6:43402387-43402406_ABCC10_+	ABCC10	382	544	581	1861
chr6:43403546-43403565_ABCC10_-	ABCC10	849	871	1080	669
chr16:48265792-48265811_ABCC11_-	ABCC11	2752	1782	1038	1213
chr16:48264404-48264423_ABCC11_-	ABCC11	138	486	164	165
chr16:48261837-48261856_ABCC11_+	ABCC11	448	722	818	1273
chr16:48258304-48258323_ABCC11_-	ABCC11	465	1200	1067	938
chr16:48177960-48177979_ABCC12_-	ABCC12	666	819	879	120
chr16:48175183-48175202_ABCC12_-	ABCC12	644	608	757	587
chr16:48174769-48174788_ABCC12_+	ABCC12	464	496	677	543
chr16:48173155-48173174_ABCC12_+	ABCC12	230	274	507	189
chr16:16101790-16101809_ABCC1_+	ABCC1	1226	1301	1599	898
chr16:16103737-16103756_ABCC1_+	ABCC1	2791	1320	416	1668
chr16:16108433-16108452_ABCC1_-	ABCC1	629	771	325	253
chr16:16110405-16110424_ABCC1_-	ABCC1	722	657	921	449
chr10:101544466-101544485_ABCC2_-	ABCC2	1675	1491	1158	1254
chr10:101552074-101552093_ABCC2_-	ABCC2	241	453	745	298
chr10:101553677-101553696_ABCC2_-	ABCC2	735	998	458	594
chr10:101554195-101554214_ABCC2_+	ABCC2	582	658	858	665
chr17:48733324-48733343_ABCC3_-	ABCC3	1776	1464	1134	954
chr17:48734442-48734461_ABCC3_+	ABCC3	575	1074	1148	1042
chr17:48735462-48735481_ABCC3_-	ABCC3	311	490	803	287
chr17:48735815-48735834_ABCC3_-	ABCC3	20	58	46	599
chr13:95953550-95953569_ABCC4_-	ABCC4	529	592	646	970
chr13:95899915-95899934_ABCC4_-	ABCC4	629	1029	1016	1160
chr13:95886980-95886999_ABCC4_-	ABCC4	2113	1110	788	1186
chr13:95861690-95861709_ABCC4_-	ABCC4	1514	1011	181	465
chr3:183707131-183707150_ABCC5_-	ABCC5	1116	1532	830	2453
chr3:183706502-183706521_ABCC5_-	ABCC5	1362	1438	1501	2286
chr3:183705630-183705649_ABCC5_+	ABCC5	256	495	311	466
chr3:183700564-183700583_ABCC5_-	ABCC5	2283	2389	1631	2013
chr16:16315584-16315603_ABCC6_+	ABCC6	1657	1078	624	371
chr16:16313681-16313700_ABCC6_-	ABCC6	476	653	923	361
chr16:16313413-16313432_ABCC6_-	ABCC6	1181	1332	842	973
chr16:16297351-16297370_ABCC6_+	ABCC6	1127	1584	556	787
chr11:17496485-17496504_ABCC8_+	ABCC8	1696	1434	1057	2351
chr11:17491682-17491701_ABCC8_+	ABCC8	899	973	813	1299
chr11:17485065-17485084_ABCC8_+	ABCC8	301	724	792	502
chr11:17483330-17483349_ABCC8_-	ABCC8	989	682	216	159
chr12:22078994-22079013_ABCC9_-	ABCC9	1880	2056	1102	531
chr12:22069897-22069916_ABCC9_-	ABCC9	1025	1445	945	2577
chr12:22063756-22063775_ABCC9_+	ABCC9	744	918	1828	2105
chr12:22061049-22061068_ABCC9_+	ABCC9	1946	1743	1543	2222
chrX:152991020-152991039_ABCD1_-	ABCD1	758	1133	605	741
chrX:152994761-152994780_ABCD1_-	ABCD1	586	841	1175	1732
chrX:153001687-153001706_ABCD1_+	ABCD1	950	568	236	464
chrX:153001807-153001826_ABCD1_+	ABCD1	1224	547	224	16
chr12:40012552-40012571_ABCD2_-	ABCD2	837	1785	899	1187
chr12:40012568-40012587_ABCD2_-	ABCD2	2012	1321	801	768
chr12:39973382-39973401_ABCD2_-	ABCD2	208	363	504	343
chr12:39967520-39967539_ABCD2_-	ABCD2	864	1121	607	574
chr1:94884058-94884077_ABCD3_+	ABCD3	274	552	279	377
chr1:94940779-94940798_ABCD3_-	ABCD3	1484	1156	330	1102
chr1:94946016-94946035_ABCD3_+	ABCD3	490	520	717	3858
chr1:94953259-94953278_ABCD3_-	ABCD3	213	691	415	1111
chr14:74766944-74766963_ABCD4_-	ABCD4	1464	1486	1300	581
chr14:74763019-74763038_ABCD4_+	ABCD4	648	790	589	295
chr14:74762583-74762602_ABCD4_+	ABCD4	157	494	467	1064
chr14:74759918-74759937_ABCD4_-	ABCD4	787	903	1226	1510
chr4:146038512-146038531_ABCE1_+	ABCE1	41	258	971	550
chr4:146042361-146042380_ABCE1_+	ABCE1	749	974	688	96
chr4:146044364-146044383_ABCE1_+	ABCE1	598	463	1575	366
chr4:146044659-146044678_ABCE1_-	ABCE1	13	432	653	215
chr6:30539252-30539271_ABCF1_+	ABCF1	191	708	1373	778
chr6:30545610-30545629_ABCF1_+	ABCF1	614	711	403	202
chr6:30550913-30550932_ABCF1_-	ABCF1	0	32	178	10
chr6:30551459-30551478_ABCF1_-	ABCF1	31	194	779	0
chr7:150923482-150923501_ABCF2_-	ABCF2	1334	909	953	2529
chr7:150921874-150921893_ABCF2_+	ABCF2	1120	1003	686	1663
chr7:150921020-150921039_ABCF2_-	ABCF2	895	884	583	899
chr7:150920897-150920916_ABCF2_-	ABCF2	465	318	72	298
chr3:183904359-183904378_ABCF3_+	ABCF3	2113	1994	864	1476
chr3:183904582-183904601_ABCF3_+	ABCF3	447	1120	596	1278
chr3:183905463-183905482_ABCF3_+	ABCF3	1805	1561	856	1328
chr3:183906138-183906157_ABCF3_+	ABCF3	281	587	875	1273
chr21:43639393-43639412_ABCG1_+	ABCG1	2103	1719	1351	1033
chr21:43645930-43645949_ABCG1_-	ABCG1	406	263	575	2376
chr21:43691193-43691212_ABCG1_-	ABCG1	583	660	585	637
chr21:43702461-43702480_ABCG1_+	ABCG1	999	565	279	281
chr4:89061050-89061069_ABCG2_-	ABCG2	615	875	399	335
chr4:89053034-89053053_ABCG2_-	ABCG2	541	682	265	222
chr4:89042925-89042944_ABCG2_-	ABCG2	827	888	509	994
chr4:89039282-89039301_ABCG2_+	ABCG2	182	232	246	729
chr11:119020701-119020720_ABCG4_+	ABCG4	1830	1836	948	1782
chr11:119024760-119024779_ABCG4_+	ABCG4	0	0	0	0
chr11:119025029-119025048_ABCG4_-	ABCG4	617	998	758	2006
chr11:119025557-119025576_ABCG4_+	ABCG4	1221	891	352	728
chr2:44065774-44065793_ABCG5_+	ABCG5	116	642	296	119
chr2:44059188-44059207_ABCG5_+	ABCG5	292	765	1140	1088
chr2:44058916-44058935_ABCG5_+	ABCG5	1358	836	518	1550
chr2:44055185-44055204_ABCG5_-	ABCG5	1150	996	584	2364
chr2:44066211-44066230_ABCG8_+	ABCG8	1855	1178	721	680
chr2:44071651-44071670_ABCG8_-	ABCG8	586	394	855	204
chr2:44073317-44073336_ABCG8_-	ABCG8	2077	1855	1208	1767
chr2:44078922-44078941_ABCG8_+	ABCG8	995	1173	1063	1367
chr3:111697992-111698011_ABHD10_-	ABHD10	1914	1227	1010	232
chr3:111698001-111698020_ABHD10_-	ABHD10	1007	883	532	812
chr3:111705144-111705163_ABHD10_+	ABHD10	1653	1218	552	1000
chr3:111705781-111705800_ABHD10_-	ABHD10	1758	1955	1451	845
chr7:73153031-73153050_ABHD11_-	ABHD11	1037	1503	1009	2936
chr7:73152673-73152692_ABHD11_+	ABHD11	157	640	560	623
chr7:73151931-73151950_ABHD11_+	ABHD11	121	472	798	473
chr7:73151679-73151698_ABHD11_-	ABHD11	13	13	51	357
chr14:51338895-51338914_ABHD12B_+	ABHD12B	558	737	1183	1104
chr14:51345498-51345517_ABHD12B_-	ABHD12B	2236	1149	905	546
chr14:51347225-51347244_ABHD12B_+	ABHD12B	610	1221	1968	1765
chr14:51355614-51355633_ABHD12B_-	ABHD12B	369	529	536	487
chr20:25371298-25371317_ABHD12_+	ABHD12	1718	1414	766	1067
chr20:25303970-25303989_ABHD12_-	ABHD12	1598	1520	1699	2072
chr20:25300887-25300906_ABHD12_-	ABHD12	503	682	445	907
chr20:25297698-25297717_ABHD12_-	ABHD12	778	637	521	1013
chr13:108881599-108881618_ABHD13_+	ABHD13	1155	1137	711	155
chr13:108882147-108882166_ABHD13_-	ABHD13	1653	1472	1303	1457
chr13:108882190-108882209_ABHD13_+	ABHD13	1656	1933	1132	2412
chr13:108882461-108882480_ABHD13_+	ABHD13	217	654	605	1226
chr3:52014416-52014435_ABHD14A_+	ABHD14A	916	1192	671	789
chr3:52014522-52014541_ABHD14A_-	ABHD14A	1122	1033	1073	1364
chr3:52014550-52014569_ABHD14A_-	ABHD14A	668	767	589	562
chr3:52014602-52014621_ABHD14A_+	ABHD14A	230	453	1218	135
chr3:52005661-52005680_ABHD14B_-	ABHD14B	643	1112	1038	537
chr3:52004079-52004098_ABHD14B_+	ABHD14B	805	792	652	1198
chr3:52004080-52004099_ABHD14B_+	ABHD14B	509	791	238	178
chr3:52003484-52003503_ABHD14B_-	ABHD14B	15	176	282	0
chr17:27893867-27893886_ABHD15_-	ABHD15	2741	1619	742	1842
chr17:27893943-27893962_ABHD15_+	ABHD15	1238	949	871	703
chr17:27889585-27889604_ABHD15_-	ABHD15	1149	1409	1058	550
chr17:27889722-27889741_ABHD15_-	ABHD15	126	206	493	744
chr6:31670915-31670934_ABHD16A_+	ABHD16A	397	784	456	420
chr6:31670923-31670942_ABHD16A_+	ABHD16A	1141	1080	1401	1062
chr6:31670983-31671002_ABHD16A_-	ABHD16A	133	82	249	0
chr6:31670989-31671008_ABHD16A_-	ABHD16A	949	717	833	388
chr20:62493232-62493251_ABHD16B_-	ABHD16B	2238	1995	1768	1968
chr20:62493541-62493560_ABHD16B_+	ABHD16B	63	252	929	650
chr20:62493922-62493941_ABHD16B_-	ABHD16B	455	585	552	923
chr20:62494225-62494244_ABHD16B_+	ABHD16B	557	635	207	476
chr19:1881222-1881241_ABHD17A_+	ABHD17A	931	959	1416	1613
chr19:1877494-1877513_ABHD17A_+	ABHD17A	286	627	1251	238
chr19:1877417-1877436_ABHD17A_-	ABHD17A	1395	680	767	318
chr9:74489862-74489881_ABHD17B_-	ABHD17B	2248	1595	982	526
chr9:74489940-74489959_ABHD17B_-	ABHD17B	1455	2253	1403	2474
chr9:74485101-74485120_ABHD17B_+	ABHD17B	881	1129	912	1086
chr9:74481810-74481829_ABHD17B_-	ABHD17B	2003	1876	1292	1560
chr15:80988090-80988109_ABHD17C_-	ABHD17C	1820	1358	547	1404
chr15:80988162-80988181_ABHD17C_-	ABHD17C	259	355	225	182
chr15:81041911-81041930_ABHD17C_-	ABHD17C	1659	1756	1865	2470
chr15:81046550-81046569_ABHD17C_+	ABHD17C	1188	943	905	283
chr2:27351376-27351395_ABHD1_+	ABHD1	708	1199	989	400
chr2:27351903-27351922_ABHD1_-	ABHD1	364	679	279	407
chr2:27352185-27352204_ABHD1_+	ABHD1	65	119	101	136
chr2:27352466-27352485_ABHD1_-	ABHD1	1174	972	354	220
chr15:89659569-89659588_ABHD2_-	ABHD2	751	930	467	1357
chr15:89695063-89695082_ABHD2_-	ABHD2	1726	1884	939	613
chr15:89698745-89698764_ABHD2_-	ABHD2	1016	1794	891	1789
chr15:89719032-89719051_ABHD2_+	ABHD2	185	426	159	5434
chr18:19284584-19284603_ABHD3_+	ABHD3	934	1436	1204	1972
chr18:19283624-19283643_ABHD3_-	ABHD3	425	520	752	151
chr18:19263895-19263914_ABHD3_-	ABHD3	2622	2276	1124	1928
chr18:19239214-19239233_ABHD3_+	ABHD3	1322	1216	1095	759
chr14:23072393-23072412_ABHD4_-	ABHD4	1185	1219	578	381
chr14:23072830-23072849_ABHD4_+	ABHD4	258	1044	584	1039
chr14:23075335-23075354_ABHD4_+	ABHD4	2155	1110	777	808
chr14:23078774-23078793_ABHD4_+	ABHD4	594	517	637	1199
chr3:43743799-43743818_ABHD5_+	ABHD5	615	1104	963	921
chr3:43743908-43743927_ABHD5_+	ABHD5	387	1189	683	582
chr3:43744035-43744054_ABHD5_-	ABHD5	2990	2727	2263	1116
chr3:43759997-43760016_ABHD5_+	ABHD5	1513	1463	880	756
chr3:58253017-58253036_ABHD6_-	ABHD6	1658	865	1020	1126
chr3:58255115-58255134_ABHD6_-	ABHD6	399	1115	775	876
chr3:58256697-58256716_ABHD6_-	ABHD6	1022	1255	1652	1331
chr3:58260448-58260467_ABHD6_-	ABHD6	544	752	857	1013
chr19:17412034-17412053_ABHD8_+	ABHD8	337	776	506	576
chr19:17405583-17405602_ABHD8_-	ABHD8	274	485	1446	637
chr19:17405201-17405220_ABHD8_-	ABHD8	181	130	99	71
chr19:17403607-17403626_ABHD8_-	ABHD8	1541	1174	1046	596
chr10:27149708-27149727_ABI1_-	ABI1	1858	1342	945	2122
chr10:27066004-27066023_ABI1_-	ABI1	2231	1445	966	1924
chr10:27054149-27054168_ABI1_+	ABI1	1540	1561	524	2112
chr10:27052823-27052842_ABI1_+	ABI1	1352	1124	1233	1731
chr2:204193285-204193304_ABI2_-	ABI2	1139	1065	773	603
chr2:204231685-204231704_ABI2_-	ABI2	1068	1369	1400	1288
chr2:204255771-204255790_ABI2_+	ABI2	71	335	254	264
chr2:204259496-204259515_ABI2_-	ABI2	1807	1886	1535	398
chr3:100712176-100712195_ABI3BP_-	ABI3BP	1515	1599	1228	1479
chr3:100645223-100645242_ABI3BP_-	ABI3BP	1540	1411	1028	1151
chr3:100605033-100605052_ABI3BP_-	ABI3BP	1438	1526	1107	3826
chr3:100551147-100551166_ABI3BP_+	ABI3BP	2428	1774	1453	892
chr17:47288148-47288167_ABI3_+	ABI3	1125	1379	772	929
chr17:47293927-47293946_ABI3_-	ABI3	900	1387	928	358
